,0
ननलल,0
ननलग,0
ननगल,0
ननगग,0
नसलल,0
नसलग,0
नसगल,0
नसगग,1
नजलल,0
नजलग,0
नजगल,0
नजगग,0
नयलल,0
नयलग,0
नयगल,0
नयगग,0
नभलल,0
नभलग,0
नभगल,0
नभगग,0
नरलल,0
नरलग,1
नरगल,1
नरगग,1
नतलल,0
नतलग,0
नतगल,0
नतगग,0
नमलल,0
नमलग,0
नमगल,0
नमगग,0
सनलल,0
सनलग,1
सनगल,1
सनगग,1
ससलल,20
ससलग,30
ससगल,39
ससगग,18
सजलल,0
सजलग,0
सजगल,0
सजगग,0
सयलल,1
सयलग,1
सयगल,5
सयगग,3
सभलल,5
सभलग,2
सभगल,3
सभगग,0
सरलल,37
सरलग,60
सरगल,62
सरगग,22
सतलल,0
सतलग,0
सतगल,1
सतगग,0
समलल,1
समलग,0
समगल,0
समगग,0
जनलल,1
जनलग,2
जनगल,1
जनगग,1
जसलल,23
जसलग,28
जसगल,31
जसगग,9
जजलल,0
जजलग,0
जजगल,0
जजगग,0
जयलल,0
जयलग,1
जयगल,2
जयगग,0
जभलल,3
जभलग,7
जभगल,0
जभगग,0
जरलल,1
जरलग,3
जरगल,34
जरगग,24
जतलल,8
जतलग,6
जतगल,4
जतगग,2
जमलल,0
जमलग,0
जमगल,7
जमगग,4
यनलल,1
यनलग,2
यनगल,0
यनगग,0
यसलल,42
यसलग,51
यसगल,44
यसगग,17
यजलल,0
यजलग,0
यजगल,0
यजगग,0
ययलल,1
ययलग,2
ययगल,1
ययगग,1
यभलल,4
यभलग,6
यभगल,3
यभगग,0
यरलल,56
यरलग,74
यरगल,77
यरगग,39
यतलल,1
यतलग,0
यतगल,2
यतगग,2
यमलल,3
यमलग,1
यमगल,2
यमगग,0
भनलल,0
भनलग,0
भनगल,0
भनगग,0
भसलल,0
भसलग,1
भसगल,0
भसगग,1
भजलल,0
भजलग,0
भजगल,0
भजगग,0
भयलल,0
भयलग,0
भयगल,0
भयगग,0
भभलल,0
भभलग,1
भभगल,0
भभगग,0
भरलल,0
भरलग,2
भरगल,0
भरगग,0
भतलल,0
भतलग,0
भतगल,0
भतगग,0
भमलल,0
भमलग,0
भमगल,1
भमगग,0
रनलल,0
रनलग,0
रनगल,3
रनगग,0
रसलल,52
रसलग,70
रसगल,71
रसगग,33
रजलल,0
रजलग,0
रजगल,1
रजगग,0
रयलल,3
रयलग,1
रयगल,1
रयगग,4
रभलल,5
रभलग,6
रभगल,0
रभगग,0
ररलल,68
ररलग,115
ररगल,102
ररगग,51
रतलल,2
रतलग,2
रतगल,3
रतगग,2
रमलल,1
रमलग,1
रमगल,1
रमगग,4
तनलल,0
तनलग,0
तनगल,0
तनगग,0
तसलल,58
तसलग,49
तसगल,59
तसगग,22
तजलल,0
तजलग,0
तजगल,0
तजगग,0
तयलल,0
तयलग,1
तयगल,1
तयगग,0
तभलल,3
तभलग,6
तभगल,0
तभगग,0
तरलल,1
तरलग,7
तरगल,43
तरगग,23
ततलल,7
ततलग,8
ततगल,2
ततगग,0
तमलल,0
तमलग,0
तमगल,11
तमगग,1
मनलल,0
मनलग,1
मनगल,3
मनगग,1
मसलल,68
मसलग,73
मसगल,81
मसगग,40
मजलल,0
मजलग,0
मजगल,0
मजगग,0
मयलल,3
मयलग,1
मयगल,2
मयगग,0
मभलल,4
मभलग,6
मभगल,0
मभगग,0
मरलल,82
मरलग,139
मरगल,137
मरगग,46
मतलल,1
मतलग,2
मतगल,5
मतगग,4
ममलल,1
ममलग,2
ममगल,8
ममगग,3
