naama,jaati,ganavibhaaga,prastaara,yati
श्री,उक्ता,ग,ऽ,-
स्त्री,अत्युक्ता,गग,ऽऽ,-
नारी,मध्या,म,ऽऽऽ,-
मृगी,मध्या,र,ऽ।ऽ,-
कन्या,प्रतिष्ठा,मग,ऽऽऽऽ,-
पङ्क्ति,सुप्रतिष्ठा,भगग,ऽ।।ऽऽ,-
तनुमष्या,गायत्री,तय,ऽऽ।।ऽऽ,-
शशिवदना,गायत्री,नय,।।।।ऽऽ,-
विद्युल्लेखा,गायत्री,मम,ऽऽऽऽऽऽ,-
वसुमती,गायत्री,तस,ऽऽ।।।ऽ,-
मदलेखा,ऊष्णिक्,मसग,ऽऽऽ।।ऽऽ,-
चित्रपदा,अनुष्टुप्,भभगग,ऽ।।ऽ।।ऽऽ,-
विद्युन्माला,अनुष्टुप्,ममगग,ऽऽऽऽऽऽऽऽ,-
माणवक (माणवकाक्रीडित),अनुष्टुप्,भतलग,ऽ।।ऽऽ।।ऽ,-
हंसरुत,अनुष्टुप्,मनगग,ऽऽऽ।।।ऽऽ,-
समानिका,अनुष्टुप्,रजगल,ऽ।ऽ।ऽ।ऽ।,-
प्रमाणिका,अनुष्टुप्,जरलग,।ऽ।ऽ।ऽ।ऽ,-
हलमुखी,वृहती,रनस,ऽ।ऽ।।।।।ऽ,-
भुजगशिशुभृता,वृहती,ननम,।।।।।।ऽऽऽ,-
शुद्धविराट्,पङ्क्ति,मसजग,ऽऽऽ।।ऽ।ऽ।ऽ,-
पणवनामक,पङ्क्ति,मनजग,ऽऽऽ।।।।ऽ।ऽ,-
मयूरसासिणि,पङ्क्ति,रजरग,ऽ।ऽ।ऽ।ऽ।ऽऽ,-
रुक्मवती,पङ्क्ति,भमसग,ऽ।।ऽऽऽ।।ऽऽ,-
मत्ता,पङ्क्ति,मभसग,ऽऽऽऽ।।।।ऽऽ,-
मनोरमा,पङ्क्ति,नरजग,।।।ऽ।ऽ।ऽ।ऽ,-
उपस्थिता,पङ्क्ति,तजजग,ऽऽ।।ऽ।।ऽ।ऽ,-
इन्द्रवज्रा,त्रिष्टुप्,ततजगग,ऽऽ।ऽऽ।।ऽ।ऽऽ,-
उपेन्द्रवज्रा,त्रिष्टुप्,जतजगग,।ऽ।ऽऽ।।ऽ।ऽऽ,-
सुमुखी,त्रिष्टुप्,नजजलग,।।।।ऽ।।ऽ।।ऽ,-
दोधक,त्रिष्टुप्,भभभगग,ऽ।।ऽ।।ऽ।।ऽऽ,-
शालिनी,त्रिष्टुप्,मततगग,ऽऽऽऽऽ।ऽऽ।ऽऽ,४
वातोर्मी,त्रिष्टुप्,मभतगग,ऽऽऽऽ।।ऽऽ।ऽऽ,४
श्री (मौक्तिकमाला),त्रिष्टुप्,भतनगग,ऽ।।ऽऽ।।।।ऽऽ,५
भ्रमरविलसित,त्रिष्टुप्,मभनलग,ऽऽऽऽ।।।।।।ऽ,४
रतोद्धता,त्रिष्टुप्,रनरलग,ऽ।ऽ।।।ऽ।ऽ।ऽ,-
स्वागता,त्रिष्टुप्,रनभगग,ऽ।ऽ।।।ऽ।।ऽऽ,-
वृन्ता,त्रिष्टुप्,ननसगग,।।।।।।।।ऽऽऽ,४
भद्रिका,त्रिष्टुप्,ननरलग,।।।।।।ऽ।ऽ।ऽ,-
श्येनिका,त्रिष्टुप्,रजरलग,ऽ।ऽ।ऽ।ऽ।ऽ।ऽ,-
उपस्थित,त्रिष्टुप्,जसतगग,।ऽ।।।ऽऽऽ।ऽऽ,-
चन्द्रवर्त्म,जगती,रनभस,ऽ।ऽ।।।ऽ।।।।ऽ,४
वंशस्थ,जगती,जतजर,।ऽ।ऽऽ।।ऽ।ऽ।ऽ,-
इन्द्रवंशा,जगती,ततजर,ऽऽ।ऽऽ।।ऽ।ऽ।ऽ,-
तोटक,जगती,सससस,।।ऽ।।ऽ।।ऽ।।ऽ,-
द्रुतविलम्बित,जगती,नभभर,।।।ऽ।।ऽ।।ऽ।ऽ,-
पुट,जगती,ननमय,।।।।।।ऽऽऽ।ऽऽ,८
प्रमुदितवदना (प्रभा),जगती,ननरर,।।।।।।ऽ।ऽऽ।ऽ,-
कुसुमविचित्रा,जगती,नयनय,।।।।ऽऽ।।।।ऽऽ,-
जलोद्धगति,जगती,जसजस,।ऽ।।।ऽ।ऽ।।।ऽ,६
भुजङ्गप्रयात,जगती,यययय,।ऽऽ।ऽऽ।ऽऽ।ऽऽ,-
स्रग्विणी,जगती,रररर,ऽ।ऽऽ।ऽऽ।ऽऽ।ऽ,-
प्रियंवदा,जगती,नभजर,।।।ऽ।।।ऽ।ऽ।ऽ,-
मणिमाला,जगती,तयतय,ऽऽ।।ऽऽऽऽ।।ऽऽ,६
ललिता,जगती,तभजर,ऽऽ।ऽ।।।ऽ।ऽ।ऽ,-
प्रनिमाक्षरा,जगती,सजसस,।।ऽ।ऽ।।।ऽ।।ऽ,-
उज्ज्वला,जगती,नभमर,।।।ऽ।।ऽऽऽऽ।ऽ,-
वैश्वदेवी,जगती,ममयय,ऽऽऽऽऽऽ।ऽऽ।ऽऽ,५
